spell_name,description,arcana_needed,arcana_level,spell_type,base_mp,max_mp,casting_time,target_number
Earth Speed,"You let the earth swallow and transport you, re-emerging anywhere within 30 yards that you can see. You must be standing on dirt when you cast the spell and you must emerge from the dirt as well.",Earth,Journeyman,Utility,6,6,Major Action,13
Earthquake,"The ground bucks and rolls in an area with a 6-yard radius anywhere you choose within 30 yards. Anyone caught in the area suffers a ?2 penalty to Defense and a ?5 penalty to Speed for one round. They must also succeed on a Dexterity (Acrobatics) test vs. your Spellpower or fall prone. This spell normally lasts for one round but for 5 MP, paid at the start of your subsequent turns as a free action, you may extend the duration by an additional round.",Earth,Master,Attack,11,,Major Action,17
Hands of Fate,"You can manipulate fate to help your allies. When you cast this spell, you get a total bonus equal to your Stunt Die +1. For the remainder of the encounter, you can give part or all of this bonus to an ally within 20 yards of you if it would make one of their failed ability tests into a success. If an ally failed a test by 2, for example, you could give them 2 of your total bonus to make that into a success. The GM must tell you the cost and you can then decide if you want to apply any of your bonus to the test. Hands of fate lasts until you?ve spent your total bonus, or the encounter ends. If your total bonus from casting the spell was 5, for example, you might give 3 of it to one ally and later give 2 to another. You can only have one hands of fate spell active at one time.",Fate,Novice,Enhancement,4,4,Major Action,12
Puppets of Fate,"You manipulate fate to discomfort your enemies. For the remainder of the encounter, you may force enemies within 12 yards of you to re-roll successful ability tests and take the worse result. You can attempt this a total number of times equal to the Stunt Die result of your casting roll. Enemies can resist Puppets of Fate with successful Willpower (Self-Discipline) vs. Spellpower tests (test for each attempt). You can only have one puppets of fate spell active at one time.",Fate,Novice,Attack,6,6,Major Action,13
Strings of Fate,"You pull the web of fate to favor your party. For the remainder of the encounter, you and your allies within 10 yards of you benefit as follows. Whenever one of the affected characters generates stunt points, that character gains +1 SP. If you rolled a 3 on the Stunt Die, for example, you would get 4 points instead of the usual 3.",Fate,Journeyman,Enhancement,8,8,Major Action,14
Chosen of Fate,"You weave the web of fate to favor you at a critical time. For the remainder of the encounter, you and your allies within 10 yards of you may re-roll your Stunt Die when generating stunt points and take the better result. Chosen of fate only takes effect if the original die roll qualified for stunt points (the test was successful and doubles were rolled).",Fate,Master,Enhancement,12,12,Major Action,16
Arcane Lantern,"You illuminate the area around you with a steady light similar to that of a lantern. The spell illuminates a 10 yard radius centered on you. Arcane lantern lasts for one hour, but can be extended for 2 MP per additional hour.",Fire,Novice,Utility,2,,Major Action,8
Flame Blast,"Gouts of blazing fire erupt from your outstretched hands or arcane device, burning nearby targets. The flame blast is 8 yards long and 2 yards wide. Anyone hit by the blast takes 2d6+1 damage. Targets that make a successful Dexterity (Acrobatics) test vs. your Spellpower only take 1d6+1 damage.",Fire,Novice,Attack,4,4,Major Action,12
Burning Shield,You surround yourself with an aura of fire. Any adjacent enemy that makes a melee attack against you takes 2 penetrating damage. Burning shield lasts for a number of minutes equal to your Willpower.,Fire,Journeyman,Defense,6,6,Major Action,12
Firestorm,You create an explosive firestorm with a 4-yard radius anywhere within 50 yards of you. Anyone caught in the area takes 3d6+Willpower damage and may be knocked prone. Those who make a successful Dexterity (Acrobatics) test vs. your Spellpower remain standing.,Fire,Master,Attack,11,11,Major Action,15
Healing Touch,"Your touch seals wounds and restores vigor to one wounded target. You can choose to spend up to 3 MPs when you cast the spell. For each MP spent, the target gets back 1d6 Health. You can cast this on yourself.",Healing,Novice,Utility,1,3,Major Action,10
Revival,"Your touch helps restore the grievously wounded or fallen. A dying character adjacent to you immediately regains 10 + their Constitution + your Willpower in Health. Since dying characters cannot take actions, you cannot cast this spell on yourself.",Healing,Novice,Utility,5,5,Major Action,14
Healing Aura,"Waves of healing energy radiate from you and aid your nearby allies. You can pick a number of targets up to twice your Willpower, all of whom must be within 10 yards of you. All targets regain 1d6 Health per 3 MP you spend (to a maximum of 3d6 Health for 9 MP). You can designate yourself as one of the targets.",Healing,Journeyman,Utility,3,9,Major Action,15
Restoration,"You can restore a gravely injured character to health, though this spell takes 1 minute to cast and is thus most useful outside of combat encounters. You must remain adjacent to the target throughout the casting. If successful, the target regains Health equal to your Willpower ? 10.",Healing,Master,Utility,15,15,1 minute,17
Hero's Inspiraton,"Your arcane power gives confidence to a number of targets equal to your Willpower. They must be within 6 yards of you when the spell is cast but may then move freely and still enjoy its effects. Those with Hero?s Inspiration gain a +2 bonus on the next ability test they take (whatever it is). If they have not used this bonus by the end of the encounter, the benefit is lost. You can designate yourself as one of the targets.",Heroic,Novice,Enhancement,3,3,Major Action,10
Hero's Might,"Your arcane power infuses a number of targets equal to your Willpower. They must be within 6 yards of you when the spell is cast but may then move freely and still enjoy its effects. Until the end of the encounter, those enhanced with Hero?s Might gain a +1 bonus to damage when making melee and ranged attacks. You can designate yourself as one of the targets.",Heroic,Novice,Enhancement,5,5,Major Action,12
Hero's Aegis,"Your power protects a number of targets equal to your Willpower. They must be within 6 yards of you when the spell is cast but may then move freely and still enjoy its effects. Until the end of the encounter, those under the Hero?s Aegis gain a +1 bonus to Defense. You can designate yourself as one of the targets.",Heroic,Journeyman,Enhancement,6,6,Major Action,13
Hero's Spirit,You bolster yourself and nearby allies with arcane power. You and your allies within 10 yards of you get +1 SP when generating stunt points. Hero?s Spirit lasts until the end of the encounter.,Heroic,Master,Enhancement,8,8,Major Action,14
Jolt,You jolt one visible character within 10 yards of you. The target takes 2 penetrating damage and must succeed in a TN 11 Constitution (Stamina) test vs. your Spellpower or become stunned. On his next turn a stunned character cannot take a major action; only a single minor action is allowed.,Lightning,Novice,Attack,3,3,Major Action,11
Shock Blast,"Electricity arcs from your hands or your arcane device, shocking enemies in a 6-yard by 6-yard area. Anyone in this area takes 1d6 + Willpower penetrating damage. Targets that make a successful Constitution (Stamina) test vs. your Spellpower only take 1d6 penetrating damage.",Lightning,Novice,Attack,4,4,Major Action,13
Lightning Bolt,A bolt of electricity leaps from your outstretched hand or arcane device to strike a single visible target within 30 yards of you. The lightning bolt inflicts 2d6 + Willpower penetrating damage. A target that make a successful Constitution (Stamina) test vs. your Spellpower only takes 1d6 + Willpower penetrating damage.,Lightning,Journeyman,Attack,7,7,Major Action,15
Chain Lightning,This spell is similar to lightning bolt but it can affect multiple targets by arcing from one to the next. You pick a single visible character within 20 yards of you. It affects that target and an additional number of characters equal to the result of the casting roll?s Stunt Die. They must all be within 10 yards of the original target. Chain Lightning inflicts 2d6 + Willpower penetrating damage. Targets that make a successful Constitution (Stamina) test vs. your Spellpower only take 1d6 + Willpower penetrating damage.,Lightning,Master,Attack,12,12,Major Action,17
Arcane Awareness,"You attune your senses to the flow of arcane power. For one minute, you can sense active magic within 10 yards of you and make Perception tests to detect details about it (usually with a TN equal to the effect?s Spellpower or equivalent) including arcana, spell type, and affected area or point of origin. If you have the Power Arcana focus, you may add it to the Perception test.",Power,Novice,Utility,2,2,Minor Action,9
Spell Ward,"You can weave arcane energies for magical protection. You give yourself or one target within 4 yards of you a +2 bonus on all tests to resist spells until the end of the encounter. By expending additional MP, you can extend this benefit to more targets: 2 MP per additional target, up to a number of targets equal to your Willpower. If you have the Power Arcana focus, you can extend this benefit to two more creatures, or alternately increase the spell?s bonus to +3.",Power,Novice,Defense,4,,Major Action,10
Arcane Abatement,"You attempt to end an ongoing spell or magical effect within 20 yards of you. Make a casting test against the Spellpower of the target spell. If it is successful, you can spend MP equal to the original cost of the spell or effect to negate it. If either the casting test fails or you do not have sufficient MP to cover the cost, then you cannot cancel the target effect.",Power,Journeyman,Utility,,,Major Action,
Arcane Circle,"You create a glowing arcane circle, up to 4 yards in diameter, on the ground where you cast the spell. It is etched with symbols of power, and lasts for 1 hour. During that time, you and any allies inside the arcane circle have protection against spells cast from outside its confines. The casting roll of any such spells trying to affect the occupants must exceed the arcane circle?s Spellpower to take effect. This does not cancel the spell entirely, just prevents it from affecting those inside the circle. Those outside the circle would be affected normally if in the spell?s area of effect. You can be inside or outside of the circle when it is created and can cross it at will. An arcane circle is no barrier to your own spells.",Power,Master,Defense,10,,1 minute,12
Shadow Dagger,A shard of darkness bursts from your hand or arcane device and speeds toward the target of your choice within 20 yards. It inflicts 1d6+1 penetrating damage.,Shadow,Novice,Attack,3,3,Major Action,11
Shadow's Embrace,You deepen the shadows in a 6 yard by 6 yard area within 30 yards of you for 5 minutes. Anyone in the area receives a +2 bonus on Dexterity (Stealth) tests. There must already be some natural shadows present or the spell does not work.,Shadow,Novice,Enhancement,4,4,Major Action,10
Veil of Darkness,"You create a wall of impenetrable darkness within 30 yards of you that is 10 yards long, 2 yards wide, and 4 yards tall. The wall does not impede movement in any way, but it does block all sight (even Dark Sight). Entering such total darkness is disconcerting, so those moving through it halve their Speed (rounded down) for the round.",Shadow,Journeyman,Utility,6,6,Major Action,12
Shadow Slip,Using this spell you can transport instantly from one area of shadow to another within 50 yards of you that you can see. To others it looks like you disappear into the shadows and re-emerge elsewhere.,Shadow,Master,Utility,8,8,Major Action,14
Arcane Spring,"You cause a number of gallons of water equal to your Willpower (minimum of 1; +2 gallons if you have the Water Arcana focus) to pour out of nowhere. This water can pour into a container (and is clean and safe to drink), onto a small fire to quench it, or even onto a target. Such a target must make a Strength (Might) test vs. your Spellpower to avoid being knocked prone, in addition to being wet for some time thereafter.",Water,Novice,Utility,2,2,Major Action,10
Water Whip,"You create a long whip of water that appears in your empty hand. You can wield the water whip as a weapon, using your Intelligence (Water Arcana) to make attack rolls. You can attack targets up to 3 yards away and the Water Whip inflicts 1d6 + Willpower damage. You can also perform the Disarm stunt for 1 SP instead of 2 when wielding it, and you use Willpower instead of Strength to determine how far away the weapon lands. The water whip lasts until the end of the encounter, although you can end it earlier as a free action if you so choose.",Water,Novice,Enhancement,4,4,Minor Action,11
Water Wall,"You conjure a cascade of water, up to 3 yards long and 1 yard wide. It blocks all fire attacks from passing through it, and anyone trying to attack through it takes a ?2 penalty on their attack rolls. Anyone attempting to cross through the Water Wall must make a Strength (Might) test vs. your Spellpower or be knocked prone. If you cast this spell more than once in an encounter, you can link together the sections into one continuous wall. The water wall lasts until the end of the encounter, although you can end it earlier as a free action if you so choose.",Water,Journeyman,Defense,6,6,Major Action,11
Watery Doom,"You cause a target?s lungs to fill with water, drowning them even in the open air. The target must make a Constitution (Stamina) test vs. your Spellpower. On a success, the spell has no effect. On a failure, the target takes 2d6 + your Willpower penetrating damage and cannot speak. At the start of each their turns, the target must make another Constitution (Stamina) test vs. your Spellpower, taking 2d6 + Willpower penetrating damage on a failure. The spell continues until a successful test is made or 5 rounds pass. Watery doom has no effect on targets that do not breathe air (or do not breathe at all).",Water,Master,Attack,9,9,Major Action,15
Forest Blend,"You and a number of creatures up to your Willpower within 6 yards of you blend into natural or wooded surroundings. For the duration of the encounter, a successful Perception (Seeing) test vs. your Spellpower is required to spot anyone concealed by this spell. Making an attack gives away your position, negating the spell?s benefits until the beginning of your next turn.",Wood,Novice,Utility,4,1,Major Action,11
Regrowth,"You infuse wood with a burst of life-force. This causes a piece of dead wood to return to life, sprouting branches, roots, and even leaves. It twists and warps wooden objects like furniture, doors, chests, or even weapons or shields, making them unusable. Used on a seed, it matures into a hearty sapling in an instant, while a mature tree enjoys a year?s growth, immediately giving forth fruit or seeds as appropriate.",Wood,Novice,Utility,3,3,Major Action,10
Ensnaring Roots,"Tough, gnarled roots spring up from the ground to grab and entangle targets in a 4 yard by 4 yard area within 20 yards of you that you designate. Those affected must make a Dexterity (Acrobatics) test against your Spellpower. Failure means the target is trapped and rooted to that spot for the duration of the encounter (though they can fire ranged weapons, cast spells, and take other actions that do not involve moving). Trapped targets can make a Strength (Might) check against your Spellpower as a major action to tear free of the ensnaring roots. Anyone moving through the area affected by the spell has a ?5 penalty to speed.",Wood,Journeyman,Attack,8,8,Major Action,11
Awaken Tree,"You ?awaken? a mature tree within 10 yards of you, giving it senses, awareness, and movement. It becomes the equivalent of an ogre (see Chapter 9: Adversaries; use the maul attack to represent attacks from the tree?s branches). It is friendly to you and obedient to your commands for the duration of the encounter. At the end of the spell, the tree reverts to its normal form, putting down roots wherever it is standing.",Wood,Master,Utility,15,15,Major Action,15
