talent_name,talent_description,mage_available,rouge_available,warrior_available,novice_description,journeyman_description,master_description
Intrigue,You are a master of secrets.,TRUE,TRUE,TRUE,"You understand how to navigate the waters of social situations. Choose one of the following Communication focuses: Etiquette, Deception, or Seduction. If you fail a Communication test with your chosen focus, you can re-roll it but you must keep the result of the second roll.  ","You always gain more information than you give out. You can perform the And Another Thing roleplaying stunt for 1 SP instead of the usual 2. In addition, you gain a +1 bonus on any further tests the stunt allows.  ","You know how to end a conversation. You can perform the Stunned Silence roleplaying stunt for 2 SP instead of the usual 3. In addition, you have the opportunity to change this immediately into a combat encounter. If you do so, you and one ally per extra stunt point you spend can act in the first round of combat. Everyone else is surprised.  "
Linguistics,"You can learn new languages easily. When you learn a new language, you learn to both speak and read it. The languages noted here are generic by necessity. Your campaign setting may have specific languages native to it. If so, your GM will let you know which ones are options for this talent.",TRUE,TRUE,TRUE,"You learn an additional language from the following list: Elf, Dwarf, Gnome, Halfling, Human, Orc.  ",You learn an additional language from the previous list. You can also imitate a specific dialect with a successful Communication (Performance) test.  ,"You learn two more languages from the previous list.  You can also pick any one language you know and speak it like a native?that is, without an accent.  "
Lore,You have an inquisitive mind and absorb facts easily.,TRUE,TRUE,TRUE,"You have studied hard. When you make a successful Intelligence test with a lore focus, the GM should give you an extra piece of information on the topic. A lore focus is any Intelligence focus with the word ?lore? in it, such as Cultural Lore and Historical Lore. The GM determines the additional information and it may or may not be pertinent to the main question at hand.  ","You are an accomplished researcher. When making Intelligence (Research) tests as part of an advanced test, you gain a +1 bonus to the result of each Stunt Die. This allows you to reach the success threshold faster. Advanced tests are detailed in Chapter 8: Mastering the Rules.  ","While your knowledge is vast, you have two areas of particular specialization. Pick any two of your lore focuses.  When making tests using those focuses, you can re-roll a failed test but you must keep the result of the second roll.  "
Mounted Combat Style,"You are a trained cavalryman, adept at fighting on horseback.",FALSE,FALSE,TRUE,"You can use the mobility of your mount to your advantage in combat. When mounted and making a Move action, you can move part of your allowed distance, then use your major action to make a Melee or Ranged Attack, and then move the rest of your allowed distance. The total distance moved cannot be more than your mount?s Speed.  Normally, you?d have to finish moving before attacking.  ",Your mounted charge is fearsome. You can move at your mount?s full Speed when making a Charge action and inflict +1 damage if your attack strikes home.  ,You and your mount are as one. The Knock Prone stunt cannot dismount you.  
Music,You have a natural talent for music.,TRUE,TRUE,TRUE,"You know how to play an instrument, sing, and write and read music.  ",Your musical journey continues as you learn to play more instruments. You know how to play a total number of instruments equal to your Communication.  ,"You are a true virtuoso. You can play all the instruments common to your culture. If you come across a more exotic instrument, you can learn to play it with 1d6 weeks of practice.  "
Observation,You have an eye for detail.,TRUE,TRUE,TRUE,"You notice things others do not. Choose one of the following Perception focuses: Empathy or Seeing. If you fail a Perception test with your chosen focus, you can re-roll it but you must keep the result of the second roll.  ",Analysis of your observation often leads to insight. You can perform the That Makes Me Wonder exploration stunt for 2 SP.  ,"Nothing escapes your scrutiny. You can perform the Object of Your Attention exploration stunt for 2 SP. In addition, the stunt gives you a +2 bonus instead of the usual +1.  "
Oratory,You are a skilled public speaker who can sway others with your words.,TRUE,TRUE,TRUE,"You know how to work a crowd. If you fail a Communication (Persuasion) test when trying to convince a group, you can re-roll it, but you must keep the results of the second roll. You can?t take this re-roll in an intimate setting or when trying to persuade an individual.","Your words are like magic. Each time you perform the Sway the Crowd roleplaying stunt, you affect three additional people instead of one.  ","You can agitate a crowd. If you make a successful Communication (Persuasion) test when addressing a group and the result of your Stunt Die is 5 or 6, you rouse them to immediate action. You can?t necessarily control what they do, though you can try with Communication (Leadership) tests, but they take your words to heart and act on them.  "
Pole Weapon Style,"Pole weapons can be cumbersome, but not in your hands. You can fight in this style with the two-handed spear or any weapon of the Polearms Group.",FALSE,FALSE,TRUE,"You can use the length of your weapon to your advantage. You treat enemies up to 4 yards away as if they were adjacent to you, so you can make melee attacks against them (they can?t do the same unless they also have this talent). If an ally is between you and your opponent, you can still attack.  In fact, this is a common tactic.  ","Once prepared you are hard to move. You can set yourself with an Activate action. Until the end of the encounter, any opponent that attempts to use the Skirmish stunt or the Novice degree of the Two-Hander Style against you must first make an opposed attack roll. If you win, your opponent fails to move you and wastes the stunt point(s). If your opponent wins, he may perform the Skirmish stunt(s).  ","You get the most of your weapon?s design features.  If wielding a military fork or two-handed spear, you can perform the Pierce Armor stunt for 1 SP instead of the usual 2. If wielding a glaive or halberd, you can perform the Knock Prone stunt for 1 SP instead of the usual 2. In addition, mounted combatants do not gain the +1 bonus for fighting against an opponent on foot when attacking you.  "
Quick Reflexes,You react to threats speedily and instinctually.,TRUE,TRUE,TRUE,You can prepare yourself for action in an instant. Once per round you can use Ready as a free action on your turn.  ,You can flip yourself up or drop down with lightning speed. You can go prone or stand up as a free action.  (These normally can only be done as part of a Move action.),"It is hard to get the drop on you. You may re-roll your initiative roll at the start of a combat encounter, but you must keep the results of the second roll.  "
Scouting,You are skilled at the art of reconnaissance.,FALSE,TRUE,FALSE,"You can use the lay of the land to your advantage. If you fail a Dexterity (Stealth) test, you can re-roll it, but you must keep the results of the second roll.  ",You know how to get the drop on your enemies.  You can perform the Seize the Initiative stunt for 2 stunt points instead of the usual 4.  ,"You are a skilled observer. If you fail a Perception (Seeing) test, you can re-roll it, but you must keep the results of the second roll.  "
Single Weapon Style,You can fight effectively wielding only a single-handed melee weapon.,FALSE,TRUE,TRUE,"Fighting with a single weapon demands increased awareness. If you take the Activate action, you gain a +1 Defense bonus until the end of the encounter while fighting in this style.",You can create a web of steel with but a single weapon. Your bonus to Defense increases to +2 while fighting in this style.  ,You know how to fight several enemies at once.  Opponents making melee attacks against you never gain a bonus on their attack rolls for outnumbering you.  
Thievery,What?s yours is yours and what?s theirs is yours too.,FALSE,TRUE,FALSE,"You don?t let locks stand in your way. If you fail a Dexterity (Lock Picking) test, you can re-roll it, but you must keep the results of the second roll.  ","You are familiar with many types of traps. If you fail a Dexterity (Traps) test, you can re-roll it, but you must keep the results of the second roll.  ","You know how to find what?s hidden. If you fail a Perception (Searching) test, you can re-roll it, but you must keep the results of the second roll.  "
Thrown Weapon Style,You are adept with throwing weapons.,FALSE,TRUE,TRUE,Your accuracy is uncanny. You gain a +1 bonus on attack rolls with throwing weapons.  ,You can ready a throwing weapon in an instant.  You can Reload a throwing weapon as a free action instead of a minor action.  ,"You know how to bypass your enemy?s armor. When you perform the Pierce Armor stunt with a throwing weapon, your damage is penetrating. (That stunt normally halves your opponent?s armor rating, but penetrating damage allows you to ignore it altogether.)"
Two-Hander Style,You are deadly with two-handed melee weapons.,FALSE,FALSE,TRUE,"The length of your weapon and the power of your attacks forces foes to yield ground. When you hit with a Melee Attack with a two-handed weapon, you can move the target 2 yards in any direction.  ",You can strike fearsome blows with your weapon. You can perform the Mighty Blow stunt for 1 stunt point instead of the usual 2 when wielding a two-handed weapon.  ,"You and your weapon are as one. When wielding a two-handed weapon, you can choose to re-roll your damage, but you must keep the results of the second roll.  "
Unarmed Style,You know a thing or two about brawling.,TRUE,TRUE,TRUE,"Your hands are as tough as iron. When you attack with your fist, you inflict 1d6 damage instead of 1d3.  ",Your punch can drop the toughest opponents. You can perform the Knock Prone stunt for 1 stunt point instead of the usual 2 when attacking with your fist or a gauntlet.  ,"You can?t be disarmed, but the same can?t be said of your opponents. When performing the Disarm stunt, you gain a +2 bonus to your attack roll in the opposed test.  "
Weapon And Shield Style,You?ve been trained to fight with a single-handed melee weapon and shield.,FALSE,FALSE,TRUE,You can use shields of all shapes and sizes. You get the full Defense bonus when using a shield.  ,You know how to get the most from your shield.  You can perform the Defensive Stance stunt for 1 stunt point instead of the usual 2.  ,Opponents must work hard to get by your defenses.  The shield bonus of any shield you use increases by 1.
